Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Public Function,"AutoSurface::AutoSurface",Editor.h,10,4,
Public Function,"AutoSurface::AutoSurface",Editor.h,10,4,
Public Const Function,"AutoSurface::operator Surface *",Editor.h,3,1,
Public Const Function,"AutoSurface::operator->",Editor.h,3,1,
Public Function,"AutoSurface::~AutoSurface",Editor.h,3,1,
File,"BaanC.xml",BaanC.xml,542,0,0
File,"BabyGrid.cpp",BabyGrid.cpp,2550,,391
File,"BabyGrid.h",BabyGrid.h,7,,0
Class,"BabyGridWrapper",BabyGridWrapper.h,109,,32
File,"BabyGridWrapper.cpp",BabyGridWrapper.cpp,17,,2
File,"BabyGridWrapper.h",BabyGridWrapper.h,94,,30
Public Function,"BabyGridWrapper::BabyGridWrapper",BabyGridWrapper.h,1,1,
Public Function,"BabyGridWrapper::clear",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::deleteCell",BabyGridWrapper.h,6,1,
Public Virtual Function,"BabyGridWrapper::destroy",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::getHomeRow",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::getNumberRows",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::getSelectedRow",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::hideCursor",BabyGridWrapper.h,3,1,
Public Virtual Function,"BabyGridWrapper::init",BabyGridWrapper.cpp,15,2,
Public Function,"BabyGridWrapper::makeColAutoWidth",BabyGridWrapper.h,3,2,
Public Const Function,"BabyGridWrapper::setAutoRow",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::setColWidth",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::setColsNumbered",BabyGridWrapper.h,3,2,
Public Function,"BabyGridWrapper::setCursorColour",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setHeaderFont",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setHeaderHeight",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setHighlightColorNoFocus",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setHighlightColorProtect",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setHighlightColorProtectNoFocus",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setInitialContent",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setLastView",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::setLineColNumber",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setMarker",BabyGridWrapper.h,4,1,
Public Const Function,"BabyGridWrapper::setProtectColor",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setRowFont",BabyGridWrapper.h,3,1,
Public Const Function,"BabyGridWrapper::setRowHeight",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::setText",BabyGridWrapper.h,6,1,
Public Const Function,"BabyGridWrapper::updateView",BabyGridWrapper.h,3,1,
Public Function,"BabyGridWrapper::~BabyGridWrapper",BabyGridWrapper.h,1,1,
Class,"BackupDlg",preferenceDlg.h,172,,27
Public Function,"BackupDlg::BackupDlg",preferenceDlg.h,1,1,
Private Virtual Function,"BackupDlg::run_dlgProc",preferenceDlg.cpp,140,24,
Private Function,"BackupDlg::updateBackupGUI",preferenceDlg.cpp,24,2,
Class,"BarsDlg",preferenceDlg.h,198,,40
Public Function,"BarsDlg::BarsDlg",preferenceDlg.h,1,1,
Private Virtual Function,"BarsDlg::run_dlgProc",preferenceDlg.cpp,191,39,
File,"Bespin.xml",Bespin.xml,738,0,0
Class,"Big5DistributionAnalysis",CharDistribution.h,21,,4
Public Function,"Big5DistributionAnalysis::Big5DistributionAnalysis",CharDistribution.cpp,6,1,
Protected Virtual Function,"Big5DistributionAnalysis::GetOrder",CharDistribution.h,9,3,
Function,"BinarySearchListBox",BabyGrid.cpp,76,11,
File,"Bitmap.cpp",Bitmap.cpp,171,,33
File,"Bitmap.h",Bitmap.h,31,,0
File,"Black board.xml",Black board.xml,734,0,0
File,"BoostRegExSearch.cxx",BoostRegExSearch.cxx,369,,76
Class,"BoostRegexSearch",BoostRegExSearch.cxx,363,,17
File,"BoostRegexSearch.h",BoostRegexSearch.h,0,,0
Public Function,"BoostRegexSearch::BoostRegexSearch",BoostRegExSearch.cxx,1,1,
Private Class,"BoostRegexSearch::CharTPtr",BoostRegExSearch.cxx,18,,5
Public Function,"BoostRegexSearch::CharTPtr::CharTPtr",BoostRegExSearch.cxx,1,1,
Public Function,"BoostRegexSearch::CharTPtr::operator const char *",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::CharTPtr::operator const wchar_t *",BoostRegExSearch.cxx,5,2,
Public Function,"BoostRegexSearch::CharTPtr::~CharTPtr",BoostRegExSearch.cxx,3,1,
Private Class Template,"BoostRegexSearch::EncodingDependent",BoostRegExSearch.cxx,94,,17
